Time,RigidBody,x,y,z,qx,qy,qz,qw,pattern,case_id
1749907678,snake_tip,0.103361145,-0.090821572,1.201710343,-0.131278321,0.015278244,-0.269182086,0.953977764,"[1, 0, 0, 0]",1
1749907678,ST_D,0.039515253,-0.055027988,1.689653873,-0.393814594,0.825774431,-0.385098159,-0.121268474,"[1, 0, 0, 0]",1
1749907678,ST_C,0.183085486,0.018758994,1.703896046,0.109984227,-0.037537899,-0.263300031,0.95768857,"[1, 0, 0, 0]",1
1749907678,ST_A,0.110925786,-0.133888781,1.715038896,-0.037723608,-0.150059253,-0.490232885,0.857747555,"[1, 0, 0, 0]",1
1749907678,ST_B,0.18621172,-0.096219972,1.697378874,0.08278466,-0.116092533,-0.039699391,0.988985896,"[1, 0, 0, 0]",1
1749907678,snake_tip,0.088652276,-0.117737979,1.208628297,-0.193191171,0.021243786,-0.267886996,0.943643212,"[1, 0, 0, 0]",1
1749907678,ST_D,0.039425634,-0.055047888,1.689042926,-0.39566943,0.826699376,-0.382345915,-0.11758168,"[1, 0, 0, 0]",1
1749907678,ST_C,0.182272285,0.017459558,1.70642221,0.140411228,-0.042080365,-0.259073913,0.954669893,"[1, 0, 0, 0]",1
1749907678,ST_A,0.107980371,-0.133831054,1.721197844,-0.031953227,-0.169144765,-0.519057214,0.837226808,"[1, 0, 0, 0]",1
1749907678,ST_B,0.1866474,-0.097086668,1.695860863,0.087273568,-0.091966242,-0.039524928,0.991142392,"[1, 0, 0, 0]",1
1749907678,snake_tip,0.078143671,-0.14084883,1.217539787,-0.25221473,0.024801807,-0.264729023,0.930425227,"[1, 0, 0, 0]",1
1749907678,ST_D,0.03941733,-0.055148769,1.689409494,-0.396021903,0.827826321,-0.378573507,-0.120633028,"[1, 0, 0, 0]",1
1749907678,ST_C,0.181823254,0.016975729,1.708013415,0.16260013,-0.043461535,-0.257234752,0.951578915,"[1, 0, 0, 0]",1
1749907678,ST_A,0.111300476,-0.134819523,1.727961779,-0.042261828,-0.176010802,-0.494100928,0.85035193,"[1, 0, 0, 0]",1
1749907678,ST_B,0.186735779,-0.098085716,1.694904327,0.092211172,-0.077176839,-0.046994712,0.99163121,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.074679792,-0.157684803,1.225674152,-0.300014317,0.016895302,-0.257913291,0.918251932,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039321426,-0.055244751,1.68937552,-0.399679303,0.830072165,-0.37054041,-0.118052617,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181460187,0.016657798,1.708663702,0.173369229,-0.043164581,-0.254309446,0.950477004,"[1, 0, 0, 0]",1
1749907679,ST_A,0.122837141,-0.136236429,1.732913017,-0.036465451,-0.171770513,-0.397968411,0.900436699,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187145099,-0.098803699,1.692997575,0.117797248,-0.078559436,-0.057796057,0.988236725,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.077664733,-0.168851212,1.232179642,-0.33612287,0.008688125,-0.257935762,0.905767679,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039458983,-0.055384904,1.689214587,-0.415300548,0.836812258,-0.34190619,-0.101837225,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181465328,0.016422955,1.708878398,0.179135352,-0.046266586,-0.255160213,0.949032784,"[1, 0, 0, 0]",1
1749907679,ST_A,0.132290274,-0.136289746,1.737446904,-0.004882559,-0.124424294,-0.306285799,0.943760455,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187418714,-0.099688627,1.69205296,0.114561953,-0.045482535,-0.05738458,0.990713835,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.084326096,-0.177965045,1.237826228,-0.367160022,-0.005604257,-0.254621834,0.894611537,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039443031,-0.055318221,1.688825965,-0.388386101,0.829337001,-0.384066552,-0.117682748,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181483343,0.016338957,1.709105611,0.184895232,-0.046912551,-0.2559475,0.947683394,"[1, 0, 0, 0]",1
1749907679,ST_A,0.128847733,-0.136716217,1.741713762,-0.02318022,-0.134158224,-0.358294696,0.923628271,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187701002,-0.099704474,1.690940142,0.139070332,-0.055404156,-0.068327926,0.986367643,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.088979423,-0.189786658,1.244537711,-0.40003252,-0.022057945,-0.24914971,0.881709576,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039270334,-0.055470377,1.688722014,-0.420506507,0.838196039,-0.334050298,-0.09493199,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181331217,0.016368156,1.709246874,0.180518478,-0.058815848,-0.256871909,0.94761306,"[1, 0, 0, 0]",1
1749907679,ST_A,0.123764537,-0.137205705,1.747318625,-0.08029303,-0.104904234,-0.39529711,0.909004033,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187886581,-0.099785738,1.690557837,0.141603664,-0.050299473,-0.069668449,0.986186981,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.088302568,-0.203251466,1.252078772,-0.424466699,-0.027912021,-0.244950145,0.871233821,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039084099,-0.056841895,1.688651204,-0.39539963,0.830116928,-0.379680604,-0.102018096,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181168839,0.016586095,1.709299207,0.176261038,-0.067579925,-0.256969839,0.947803497,"[1, 0, 0, 0]",1
1749907679,ST_A,0.132627398,-0.136095047,1.749566078,-0.031260632,-0.123507693,-0.312565207,0.941313744,"[1, 0, 0, 0]",1
1749907679,ST_B,0.18811807,-0.099601626,1.69087708,0.135022506,-0.042347826,-0.067050293,0.987663805,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.081170492,-0.217184439,1.258958101,-0.443919003,-0.016047725,-0.242470175,0.862488568,"[1, 0, 0, 0]",1
1749907679,ST_D,0.039076023,-0.056892436,1.688414335,-0.374569416,0.82598871,-0.406270087,-0.111287877,"[1, 0, 0, 0]",1
1749907679,ST_C,0.18113175,0.016442275,1.70904386,0.172757104,-0.072830237,-0.25818032,0.94773078,"[1, 0, 0, 0]",1
1749907679,ST_A,0.132535934,-0.137057781,1.750608444,-0.029331144,-0.105503179,-0.306076348,0.945688069,"[1, 0, 0, 0]",1
1749907679,ST_B,0.188037887,-0.09988638,1.690898776,0.143627152,-0.064192548,-0.076089174,0.984612167,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.07185325,-0.225032985,1.264318347,-0.454826415,-0.004455922,-0.239582509,0.857737303,"[1, 0, 0, 0]",1
1749907679,ST_D,0.038429443,-0.056958273,1.688173532,-0.37445733,0.826839983,-0.408686787,-0.09535446,"[1, 0, 0, 0]",1
1749907679,ST_C,0.180922657,0.016749954,1.709093213,0.163235158,-0.080672055,-0.259369373,0.948458731,"[1, 0, 0, 0]",1
1749907679,ST_A,0.133021712,-0.136729151,1.752355814,-0.047255181,-0.102395616,-0.284166753,0.95211941,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187890097,-0.09979666,1.691776991,0.141853109,-0.071812153,-0.077317737,0.984247327,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.065769456,-0.220231652,1.262730837,-0.451454878,0.005283013,-0.23975262,0.859464467,"[1, 0, 0, 0]",1
1749907679,ST_D,0.037634496,-0.062157698,1.687235355,-0.407903403,0.822540164,-0.392828703,-0.052230921,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181045741,0.016536668,1.70882833,0.171500757,-0.067498378,-0.258631825,0.948230445,"[1, 0, 0, 0]",1
1749907679,ST_A,0.132555619,-0.137078553,1.750969052,-0.021913569,-0.130835891,-0.29092896,0.94750309,"[1, 0, 0, 0]",1
1749907679,ST_B,0.18766132,-0.099913999,1.691009641,0.135890305,-0.048685394,-0.071844928,0.98691529,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.065250516,-0.209597662,1.257652402,-0.442099601,0.008746275,-0.241930321,0.863678873,"[1, 0, 0, 0]",1
1749907679,ST_D,0.037559789,-0.062451743,1.686641455,-0.409067065,0.820347905,-0.396016181,-0.053522475,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181023702,0.016158056,1.708985686,0.18071878,-0.06217901,-0.258442938,0.946932852,"[1, 0, 0, 0]",1
1749907679,ST_A,0.132988364,-0.137149081,1.749996543,-0.032176584,-0.113196775,-0.287054628,0.950658083,"[1, 0, 0, 0]",1
1749907679,ST_B,0.187906951,-0.099612676,1.690074086,0.141592667,-0.049788684,-0.070030928,0.98618871,"[1, 0, 0, 0]",1
1749907679,snake_tip,0.069293998,-0.203851074,1.254632592,-0.436139196,0.00453012,-0.242933437,0.866455674,"[1, 0, 0, 0]",1
1749907679,ST_D,0.037804917,-0.062356941,1.686816573,-0.413148582,0.820777774,-0.391070068,-0.051925976,"[1, 0, 0, 0]",1
1749907679,ST_C,0.181208685,0.016298722,1.709061146,0.185130835,-0.056231063,-0.257911623,0.946597219,"[1, 0, 0, 0]",1
1749907679,ST_A,0.133082241,-0.136791289,1.749625564,-0.027851544,-0.127697542,-0.28889057,0.94839853,"[1, 0, 0, 0]",1
1749907679,ST_B,0.18801032,-0.099564843,1.690180063,0.130047143,-0.026586322,-0.063306935,0.989127457,"[1, 0, 0, 0]",1
1749907680,snake_tip,0.075949833,-0.204440773,1.25373435,-0.43397212,-0.005484954,-0.244290233,0.867156446,"[1, 0, 0, 0]",1
1749907680,ST_D,0.03772356,-0.062539823,1.686983228,-0.402792811,0.818636775,-0.405529857,-0.05601177,"[1, 0, 0, 0]",1
1749907680,ST_C,0.181074038,0.016229412,1.709207535,0.180628493,-0.063333504,-0.257312089,0.947181404,"[1, 0, 0, 0]",1
1749907680,ST_A,0.132448539,-0.136713222,1.749820232,-0.011062006,-0.143802807,-0.308845252,0.940113246,"[1, 0, 0, 0]",1
1749907680,ST_B,0.18820338,-0.099476859,1.690608144,0.129854947,-0.028331229,-0.060134664,0.989302218,"[1, 0, 0, 0]",1
1749907680,snake_tip,0.082204401,-0.206155285,1.253831625,-0.434373409,-0.01551481,-0.24889636,0.865522683,"[1, 0, 0, 0]",1
1749907680,ST_D,0.037706692,-0.062412348,1.687283039,-0.408558667,0.819218159,-0.398758739,-0.05434056,"[1, 0, 0, 0]",1
1749907680,ST_C,0.180993631,0.016534533,1.709137678,0.172038585,-0.071617343,-0.258070678,0.947983801,"[1, 0, 0, 0]",1
1749907680,ST_A,0.132594302,-0.136343405,1.749922752,-0.022612745,-0.122406915,-0.311292261,0.942126513,"[1, 0, 0, 0]",1
1749907680,ST_B,0.187756047,-0.099711053,1.690899611,0.131004423,-0.03695311,-0.069840893,0.988228023,"[1, 0, 0, 0]",1
1749907680,snake_tip,0.086113788,-0.20301865,1.251895785,-0.429616064,-0.021161059,-0.249641925,0.867560506,"[1, 0, 0, 0]",1
1749907680,ST_D,0.037785828,-0.062425505,1.687167764,-0.401449859,0.817594826,-0.408779204,-0.05723903,"[1, 0, 0, 0]",1
1749907680,ST_C,0.181046501,0.016512679,1.70916307,0.172761753,-0.071595877,-0.258019388,0.947867751,"[1, 0, 0, 0]",1
1749907680,ST_A,0.132520407,-0.136164486,1.74952507,-0.024100607,-0.126095593,-0.315151542,0.940318346,"[1, 0, 0, 0]",1
1749907680,ST_B,0.188250348,-0.099308416,1.690855384,0.132527202,-0.033968233,-0.061485827,0.988687158,"[1, 0, 0, 0]",1
1749907680,snake_tip,0.085217923,-0.196155056,1.249315023,-0.422741205,-0.019528706,-0.249782607,0.870928943,"[1, 0, 0, 0]",1
1749907680,ST_D,0.037810959,-0.062350411,1.68717134,-0.409048259,0.819164813,-0.398436248,-0.05382498,"[1, 0, 0, 0]",1
1749907680,ST_C,0.181241363,0.016542383,1.709147692,0.175929561,-0.061466958,-0.258024573,0.947994709,"[1, 0, 0, 0]",1
